$# WB_2006_DEXTER-POOLELEVqwb_57.csv Water Balance; distributed tributary (cms)  2020-01-23_10:29
#
# JDAY, New_Qdt_Qcms
1,0
2,-0.49598
3,-0.18408
4,-0.26628
5,0.00565
6,0.29022
7,-0.31004
8,-0.47146
9,0.79062
10,-9.9721
11,-21.83135
12,14.71903
13,70.77685
14,54.48538
15,23.27651
16,-13.26836
17,16.99211
18,102.05061
19,56.39294
20,1.77486
21,3.9557
22,5.2941
23,13.44329
24,0.01193
25,0.03666
26,-0.0723
27,-0.0925
28,-12.11844
29,0.14586
30,16.5428
31,44.72245
32,50.23969
33,25.51603
34,4.2152
35,11.23761
36,6.1525
37,-0.19942
38,-0.01028
39,-0.00206
40,0.00411
41,-0.00206
42,0
43,0
44,0
45,-0.03495
46,-0.01234
47,0
48,-0.00206
49,0
50,0
51,-0.00206
52,-0.01645
53,0.0185
54,0
55,-0.03701
56,-0.01234
57,0
58,-0.17681
59,-1.2048
60,-0.53868
61,-0.1028
62,0
63,0
64,0
65,-0.02878
66,-0.03495
67,-0.25084
68,-0.85535
69,-0.45236
70,-0.10487
71,0
72,-0.00411
73,-0.04524
74,-0.05963
75,-0.1501
76,-0.53051
77,-0.14188
78,-0.01851
79,-0.03084
80,-0.24675
81,-0.14188
82,-0.04524
83,-0.20769
84,-0.32285
85,-0.44006
86,-0.06992
87,-0.05964
88,-0.37221
89,-0.35782
90,-0.31669
91,-0.47299
92,-0.35166
93,-0.23239
94,-0.87404
95,-0.25708
96,-0.02468
97,0
98,-0.07404
99,-0.22417
100,-0.26119
101,-0.26325
102,-0.2324
103,-0.0473
104,-0.14397
105,-0.75893
106,-0.70958
107,-0.6335
108,-0.18923
109,-0.01645
110,-0.0144
111,-0.1049
112,-0.05759
113,-0.01851
114,0.00411
115,-0.00617
116,0
117,0
118,0.00206
119,0.00411
120,-0.00823
121,0.00206
122,0
123,0
124,0
125,0
126,0
127,-0.03291
128,-0.26122
129,-0.04731
130,-0.00411
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,-0.14398
140,-0.84333
141,-0.21392
142,-0.44019
143,-0.49573
144,-0.70555
145,-0.21805
146,-0.34764
147,-0.73026
148,-0.87016
149,-0.3024
150,-0.02263
151,-0.0144
152,-0.23246
153,-1.28986
154,-0.39499
155,-0.62335
156,-0.10903
157,-0.01646
158,-0.0288
159,0.01852
160,0.00411
161,0.00411
162,0.01646
163,-0.06995
164,-0.44437
165,-0.40734
166,-0.15018
167,-0.02263
168,-0.03909
169,0.00206
170,-0.00206
171,0.00206
172,-0.00206
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,-0.00206
182,0.00206
183,-0.00206
184,0.00206
185,0
186,-0.02675
187,-0.11521
188,-0.05555
189,0
190,0
191,0
192,0.00206
193,-0.02469
194,-0.1111
195,-0.0144
196,0
197,0.00206
198,-0.00206
199,-0.00206
200,0.00206
201,0
202,0.00206
203,-0.00206
204,-0.00206
205,0.00206
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,-0.00206
221,-0.05143
222,-0.29214
223,-0.04938
224,0
225,0
226,0
227,0
228,0
229,0
230,-0.00206
231,0.00206
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0.00206
244,0
245,-0.00411
246,0.00206
247,0
248,-0.02675
249,-0.17899
250,-0.03909
251,0
252,-0.00411
253,0.00206
254,0
255,-0.00206
256,0.00206
257,-0.05761
258,-0.49582
259,-0.74889
260,-0.12962
261,-0.02057
262,-0.19751
263,-0.22014
264,-0.34976
265,-0.05144
266,-0.01852
267,0.00617
268,-0.00823
269,-0.00411
270,0.00823
271,0.00617
272,0.00823
273,0.00206
274,0
275,0
276,-0.04732
277,-0.00206
278,0
279,0
280,0
281,-0.00206
282,0.00617
283,-0.00617
284,0
285,0.00206
286,0
287,0
288,-0.07407
289,-0.5123
290,-0.51231
291,-0.08436
292,-0.03498
293,-0.05144
294,-0.0144
295,0
296,0
297,0
298,0
299,0
300,0.00206
301,-0.00411
302,-0.01234
303,-0.03498
304,0
305,-0.03703
306,-0.31274
307,-0.63576
308,-0.43619
309,-0.67487
310,-0.24279
311,-0.33126
312,-1.12548
313,-0.75513
314,-0.21605
315,-0.55555
316,-0.19136
317,-0.48765
318,-0.80041
319,-0.73663
320,-0.2284
321,-0.69754
322,-0.12757
323,0.00617
324,-0.11523
325,-0.70989
326,-0.2963
327,-1.19962
328,-1.06794
329,-0.53294
330,-0.21606
331,-0.15433
332,-0.47738
333,-0.15433
334,-0.10288
335,-0.22635
336,-0.03704
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,-0.03087
345,-0.09054
346,-0.51237
347,-1.65851
348,-0.93008
349,-0.7346
350,-0.22018
351,-0.0144
352,0.01235
353,-0.00206
354,-0.03087
355,-0.34364
356,-0.22635
357,-0.21606
358,-0.77371
359,-1.64208
360,-1.42808
361,-0.77372
362,-0.11112
363,0.02017
364,0
366,0
